domain	canonical_org	recommended_repo	confidence
blackboxprogramming.io	Blackbox-Enterprises	blackroad-io-site	review
blackroad.company	BlackRoad-OS-Inc	blackroad-os-web	review
blackroad.io	BlackRoad-Media	blackroad.io	strong
blackroad.me	BlackRoad-Media	blackroad-site	review
blackroad.network	BlackRoad-Network	blackroad-network	review
blackroad.systems	BlackRoad-OS	blackroad-systems	strong
blackroadai.com	BlackRoad-AI	blackroad-ai-gateway	review
blackroadinc.us	BlackRoad-OS-Inc	blackroad-os-prism-enterprise	review
blackroadqi.com	BlackRoad-QI	road-math	review
blackroadquantum.com	BlackRoad-Quantum	road-math	review
blackroadquantum.info	BlackRoad-Quantum	blackroad-io-worker	review
blackroadquantum.net	BlackRoad-Quantum	blackroad-network	review
blackroadquantum.shop	BlackRoad-Quantum	blackroad-pricing-site	review
blackroadquantum.store	BlackRoad-Quantum	blackroad-pricing-site	review
lucidia.earth	BlackRoad-Media	lucidia-sites	strong
lucidia.studio	BlackRoad-Media	lucidia-sites	strong
lucidiaqi.com	BlackRoad-QI	lucidia-sites	review
roadchain.io	BlackRoad-Network	roadchain-worker	review
roadcoin.io	BlackRoad-App	roadcoin-blackroad	review
